time_step,total_population,resource_concentration,genotype_0_density,genotype_1_density,genotype_2_density,genotype_3_density,genotype_4_density,genotype_5_density,genotype_6_density,genotype_7_density,genotype_8_density,genotype_9_density,genotype_10_density,genotype_11_density,genotype_12_density,genotype_13_density,genotype_14_density,genotype_15_density,genotype_16_density,genotype_17_density,genotype_18_density,genotype_19_density,mutation_frequency,cooperation_index,competition_index,mean_fitness,mean_resistance,mean_efficiency,biofilm_fraction,hgt_events,divisions,deaths,phase_lag,phase_log,phase_stationary,phase_death,mean_antibiotic,mean_biofilm,cumulative_mutations,cumulative_hgt,total_resource_consumed
1,300,15.25,0.333333,0.333333,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.581442,0.073883,1.002852,0.0,0,0,0,300,0,0,0,0.0,0.0,0,0,0.0
2,299,15.5,0.334448,0.334448,0.331104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.581821,0.073827,1.002895,0.0,0,0,1,299,0,0,0,0.0,0.0,0,0,0.0
3,298,15.75,0.332215,0.33557,0.332215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.581951,0.073645,1.002692,0.0,0,0,1,298,0,0,0,0.0,0.0,0,0,0.0
4,297,16.0,0.329966,0.3367,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.497088,0.0,0.582224,0.073716,1.002613,1.0,0,0,1,297,0,0,0,0.0,0.0,0,0,0.0
5,295,16.235974,0.325424,0.338983,0.335593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496877,0.0,0.582627,0.073873,1.00276,1.0,0,0,2,0,295,0,0,0.0,0.000369,0,0,802.3745
6,372,16.472035,0.333333,0.327957,0.33871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026673,0.000308,0.462166,0.073816,1.014957,0.053763,0,77,0,77,295,0,0,0.0,0.000386,0,0,1373.9686
7,588,16.708086,0.32483,0.340136,0.335034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018349,0.016912,0.000839,0.370331,0.073695,1.002736,0.034014,0,218,2,295,293,0,0,0.0,0.000392,4,0,1940.5513
8,838,16.94423,0.323389,0.338902,0.336516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001193,0.0,0.0,0.0,0.0,0.0,0.0,0.011905,0.030251,0.000844,0.40754,0.073866,1.006411,0.060859,0,252,2,545,293,0,0,0.0,0.000407,7,0,2508.1181
9,949,17.180364,0.32666,0.33509,0.337197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001054,0.0,0.0,0.0,0.0,0.0,0.0,0.008547,0.044032,0.000889,0.512858,0.073755,1.007419,0.088514,0,117,6,659,290,0,0,0.0,0.000415,8,0,3072.206
10,1150,17.416627,0.323478,0.337391,0.338261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00087,0.0,0.0,0.0,0.0,0.0,0.0,0.014778,0.091301,0.001009,0.482111,0.073551,1.004035,0.183478,0,203,2,860,290,0,0,0.0,0.000412,11,0,3625.3864
11,1325,17.649066,0.323019,0.336604,0.339623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000755,0.0,0.0,0.0,0.0,0.0,0.0,0.01676,0.161864,0.001095,0.505161,0.073747,1.006755,0.325283,0,179,4,961,364,0,0,0.0,0.000509,14,0,4399.6263
12,1717,17.871561,0.320909,0.333722,0.343623,0.0,0.0,0.000582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000582,0.000582,0.0,0.0,0.0,0.0,0.0,0.022444,0.163553,0.001424,0.448972,0.073584,1.008763,0.329062,0,401,9,1139,578,0,0,0.0,0.000783,23,0,5695.6408
13,2116,18.082455,0.321361,0.336011,0.34121,0.0,0.0,0.000473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000473,0.000473,0.0,0.0,0.0,0.0,0.0,0.004902,0.130069,0.001749,0.473625,0.073745,1.008566,0.261342,0,408,9,1302,814,0,0,0.0,0.001104,25,0,7492.5367
14,2652,18.288069,0.320136,0.337481,0.340875,0.0,0.0,0.000377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000754,0.000377,0.0,0.0,0.0,0.0,0.0,0.016423,0.119347,0.002021,0.465533,0.07367,1.007269,0.239819,0,548,12,1726,926,0,0,0.0,0.001302,34,0,9417.6676
15,3292,18.48458,0.32017,0.337789,0.340219,0.0,0.0,0.000304,0.0,0.0,0.000608,0.0,0.0,0.0,0.0,0.000608,0.000304,0.0,0.0,0.0,0.0,0.0,0.013534,0.135715,0.002526,0.467827,0.073846,1.009842,0.272783,0,665,25,2182,1110,0,0,0.0,0.001603,43,0,11783.2849
